"topic","sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys60","sys61","sys62","sys63","sys64","sys65","sys66","sys67","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys75","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys83","sys84","sys85","sys86","sys87","sys88","sys89","sys90","sys91","sys92","sys93","sys94","sys95","sys96","sys97","sys98","sys99","sys100","sys101","sys102","sys103","sys104","sys105","sys106","sys107","sys108","sys109","sys110"
401,0,0.3,0.2,0.3,0.2,0,0,0,0,0.7,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0,0,0.7,0.2,0.2,0.7,0.7,0,0.6,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.2,0.4,0,0,0,0.3,0.2,0.3,0.3,0.2,0.3,0.6,0.6,0.1,0.1,0.3,0.1,0,0.2,0.1,0.1,0.1,0,0,0,0,0.3,0.2,0.3,0.2,0.1,0.3,0,0,0.5,0.4,0.4,0.4,0.9,0,0.1,0.9,0,0.1,0.1,0,0,0,0.8,0.6,0.6,0.6,0,0,0,0,1,1,0.9,0.9,0.8,0.8,0.9,0.5,0,0.4,0.2
402,0.4,0.9,0.8,0.3,0.2,0.8,0.6,0.8,0.5,0.9,0.9,0.9,0.5,0.8,0.7,0.6,0.6,0.5,0.6,0.5,0.2,0.2,0.1,0.2,0.3,0.6,0.8,0.1,0.5,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.3,0.4,0.5,0.5,0.1,0.1,0.2,0,0.3,0.3,0.5,0.1,0,0.7,0.7,0.5,0.5,0.5,0.5,0.7,0.8,0.6,0.7,0.6,0.8,0.8,0.8,0.8,0.6,0.7,0.5,0.4,0.8,0.7,0.4,0.4,0.8,0.8,0.4,0.4,0.9,0.6,0.5,0.8,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.6,0.6,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.6,0.7,0.7,1,0.4
403,0.8,1,1,0.8,0.8,1,1,1,1,1,1,1,1,0.9,1,0.9,0.9,0.9,0.8,1,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.7,0.8,0.8,0.9,0.6,0.9,0.8,0.9,0.9,0.9,1,0.9,1,0.8,0.9,0.9,0.8,0.8,0.4,0.6,0.5,0.8,0.7,0.2,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,1,0.9,0.9,1,1,0.9,0.9,0.9,0.9,0.8,0.8,1,1,0.7,1,1,0.7,0.9,1,1,1,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,0.9
404,0.4,0.4,0.3,0,0,0.3,0.3,0.4,0.3,0.5,0.1,0.3,0.3,0.1,0.2,0.4,0.3,0.3,0.3,0.5,0.2,0.2,0.3,0.3,0.1,0.4,0.3,0,0.1,0.3,0.3,0,0.3,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.1,0,0.1,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.5,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.5,0,0.1,0.5,0.3,0.1,0.5,0.4,0.1,0.1,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.4,0.2,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0
405,0.5,0.5,0.2,0.2,0.2,0.5,0.3,0.5,0.5,0.5,0.4,0.5,0.5,0.2,0.4,0.3,0.4,0.4,0.5,0.6,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.1,0.2,0.4,0.2,0,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.1,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.5,0.5,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.5,0.5,0.3,0.5,0.4,0.4,0.3,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.4,0.3
406,0.2,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.6,0.5,0.5,0.4,0.5,0.3,0.1,0.2,0.5,0.3,0.4,0.4,0.4,0.2,0.2,0.2,0.3,0.3,0.2,0,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.2,0.3,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.4,0.5,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.7,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.3,0.4,0.3,0.3
407,0.3,0.6,0.6,0.6,0.5,0.9,0.6,0.8,0.9,0.9,0.7,0.9,0.9,0.7,0.9,0.6,0.8,0.6,0.2,0.6,0.7,0.4,0.7,0.8,0.9,0.3,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.5,0.6,0.6,0.5,0.7,0.6,0.5,0.5,0.3,0.6,0.6,0.6,0.6,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.6,0.8,0.7,0.6,0.6,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.8,0.7,0.9,0.8,0.7,0.4,0.2,0.5,0.4,0.7,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.9,0.2,0.7,0.8,0.7
408,0.4,0.9,0.9,0.3,0.3,0.6,0.5,0.5,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.3,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.4,0.1,0.6,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.2,0.2,0.5,0.2,0.2,0.4,0.2,0.4,0.4,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.2,0.3,0.3,0.3,0.3,0.6,0.6,0.8,0.5,0.6,0.4,0.5,0.6,0.3,0.4,0.6,0.3,0.4,0.5,0.6,0.6,0.5,0.7,0.7,0.7,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.2
409,0.4,0.3,0.5,0.4,0.4,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.1,0.4,0.4,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.2,0.4,0.5,0.5,0,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.3,0.3,0.4,0.3,0.1,0,0.3,0.5,0.3,0.3,0.5,0.4,0.4,0.4,0.3,0.2,0.2,0.1,0,0.2,0.1,0,0.5,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0,0.6,0.4,0.4,0.2
410,0.7,1,1,0.9,0.9,1,1,1,1,1,1,1,1,1,1,1,0.8,0.9,0.3,1,1,0.8,1,1,1,1,1,1,1,1,1,0.8,1,1,0.8,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.8,1,0.9,0,0.2,0.7,0.8,0.8,0.8,0.8,0.7,0.8,1,1,1,1,0.9,1,1,1,1,1,1,0.9,0.8,0.9,0.8,0.9,1,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9
411,0.4,0.5,0.6,0.5,0.3,0.5,0.7,0.7,0.5,0.8,0.7,0.8,0.5,0.5,0.5,0.4,0.7,0.4,0.1,0.3,0.3,0.3,0.3,0.5,0.6,0.1,0.7,0.3,0.3,0.1,0.7,0,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.1,0.5,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.3,0.4,0.5,0.4,0.6,0.7,0.7,0.7,0.4,0.7,0.7,0.6,0.7,0.5,0.6,0.7,0.6,0.7,0.7,0.3,0.2,0.4,0.4,0.4,0.3,0.8,0.3,0.4,0.8,0.3,0.3,0.7,0.3,0.4,0.4,0.1,0.3,0.8,0.8,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.7,0.7,0.5,0.4,0.5,0.6,0.2
412,0.2,0.9,0.8,0.7,0.7,0,0.4,0,0.8,0.4,0.7,0.7,0.8,0.5,0.6,0.2,0,0.1,0.1,0.4,0.4,0.5,0.4,0.7,1,0.5,0.8,0.6,0.7,0.3,0.8,0,0.8,0.8,0,0,0,0,0,0,0.9,0.1,0.9,0.9,0.8,0,0.2,0.3,0.6,0.2,0.6,0.6,0.1,0.6,0.7,0.1,0.1,0.1,0.5,0.1,0.2,0,0.3,0.3,0.1,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.6,0.8,0.8,0.2,0.2,0.7,0.7,0.9,0.8,0,0,1,0,0,1,0.7,0,0,0,0.4,0.4,0.4,0.4,0.5,0.9,0.9,0.5,0.9,0.9,0.9,1,0.8,0.8,0.9,0,0.6,0.3,0.8
413,0.1,0.7,0.5,0,0,1,0.5,1,0,1,0.8,1,0,0.2,0.3,0.2,0.6,0.2,0.3,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.6,0,0.1,0.4,0.6,0,0.8,0.1,0.5,0.5,0.5,0.6,0.6,0.5,0.1,0.4,0.5,0.1,0.1,0.5,0.3,0.4,0.3,0.3,0.1,0.2,0.2,0.2,0.7,0.7,0.2,0.2,0.3,0.3,0.5,0.6,0.4,0.5,0.2,0.7,0.7,0.7,0.7,0,0,0.6,0.4,0.8,0.7,0.4,0.3,0.5,0.7,0.1,0.1,0.5,0.7,0.1,0.5,0.7,0.1,0.1,1,1,1,0.7,0.7,1,0.9,0.2,0.2,0.1,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.7,0.3,0.6,0.1
414,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.3,0.2,0.2,0.5,0.4,0.3,0.4,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0,0.4,0.2,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.3,0.4,0.4,0.5
415,0.5,0.6,0.6,0.7,0.8,1,1,1,1,0.9,1,1,1,1,1,0.9,1,0.9,0.9,0.9,1,1,1,1,0.9,0.9,0.9,0.7,0.9,0.9,0.8,0.2,0.9,0.7,0.8,0.8,0.8,0.9,0.8,0.8,0.6,0.7,0.8,0.8,0.8,1,1,1,0.9,1,0.9,0.9,1,0.9,1,1,0.9,0.8,0.8,0.8,1,1,0.8,1,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.9,0.9,0.9,0.9,1,1,1,0.9,0.8,0.9,1,1,1,1,1,1,0.9,1,1,1,0.9,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.7,0.9,0.9
416,0.6,0.5,0.4,0.4,0.6,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.3,0.4,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.1,0.6,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.3,0.3,0.5,0.5,0.4,0.5,0.3,0.2,0.2,0.2,0.3,0.2,0.6,0.4,0.4,0.6,0.4,0.4,0.5,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.4,0.5,0.4
417,0.3,0.5,0.6,0.5,0.4,0.8,0.8,0.9,0.8,0.7,0.5,0.5,0.7,0.7,0.7,0.9,1,0.7,0.4,0.5,0.8,0.8,0.8,0.8,0.7,0.3,0.1,0.1,0.3,0.3,0.1,0,0.2,0.2,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.8,0.6,0.7,0.4,0.1,0.3,0.3,0.4,0,0.2,0.4,0.1,0.1,0.4,0.4,0.6,0.6,0.7,0.7,0.6,0.4,0.4,0.6,0.7,0.3,0.6,0.5,0.6,0.4,0.2,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.4,0.6,0,0,0.7,0,0,0.8,0.5,0.7,0.9,0.9,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1,1,0.9,1,0.7,0.8,0.9,0.8,0.9,0.8,0.8
418,0.1,0.8,0.8,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0,0.6,0.6,0,0.7,0.7,0.7,0.5,0.6,0.5,0.5,0.7,0.6,0.2,0.2,0.5,0.7,0.7,0.7,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0,0.1,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.6,0.4,0.6,0.7,0.6,0.6,0.7,0.6,0.7,0.7,0.6,0.7,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7
419,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.6,0.5,0.5,0.4,0.3,0.3,0.2,0.3,0.4,0.5,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.1,0.2,0.3,0.2,0.5,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.4,0.4,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0
420,0.7,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.3,0.9,1,0.9,0.7,0.9,0.9,0.7,0.5,0.7,0.7,0.5,0.5,0.6,0.9,0.7,0.8,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.9,0.2,0.8,0.8,0.8,0.8,0,0.8,0.8,0,0.4,0.4,0.7,0.8,0.8,0.8,0.6,0.3,0.4,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.7,0.8,0.3,0.3,0.8,0.8,0.3,0.5,0.5,0.3,0.5,0.5,0.9,0.9,0.9,0.9,0.3,0.3,0.3,0.3,0.8,1,1,0.9,0.7,0.7,0.6,0.5,0.5,0.5,0.8,0.2,0.9,0.4,0.8
421,0.1,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0.1,0.2,0.1,0.4,0.4,0.4,0.4,0.4,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0.1,0.3,0.1,0.1,0,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0,0,0.1,0.1,0,0.2,0.2,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0.1,0.1,0.3,0.2,0,0,0.1,0.1,0,0,0,0.1,0.3,0.1,0.2
422,0.7,0.8,0.9,0.7,0.6,0.8,0.9,1,0.9,1,1,1,0.9,0.9,1,0.1,0,0.2,0.6,0.5,0.3,0.5,0.5,0.4,0.1,0.7,0.7,0.7,0.7,0.8,0.7,0,0.6,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.4,0.8,0,0,0.1,0,0,0.3,0.5,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.2,0.1,1,0.8,0.9,0.8,0.9,1,0.9,0.9,0.9,0.9,0.2,0.3,0.2,0.3,0.5,0.5,0.8,0.8,0.8,0.9,0.8,0.8,0.3,1,1,1,1,1,1,1,1,0.9,0.9,0.6,1,1,0.7,0.7,0.8,0.8,0.3,1,0.8,0.6,0.9
423,0.9,0.8,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.7,0.7,0.5,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.6,0.6,0.6,0.7,0.8,0.7,0.7,0.7,0.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.7,0.7,0.7,0.7,0.6,0.6,0.8,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8
424,0.1,0.5,0.5,0,0,0.6,0.4,0.6,0,0.6,0.3,0.6,0,0.2,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.5,0.5,0,0.4,0.2,0.5,0.3,0.8,0.5,0.3,0.3,0.3,0.2,0.2,0.3,0.1,0.3,0.3,0.1,0,0.3,0.2,0.1,0,0.1,0,0,0.2,0,0.5,0.5,0.4,0.3,0.4,0.3,0.4,0.7,0.5,0.4,0.3,0.7,0.5,0.6,0.5,0,0.2,0.4,0.2,0.5,0.5,0.2,0.3,0.8,0.7,0.2,0,0.7,0.6,0.1,0.8,0.6,0.2,0.1,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.7,0.6,0.6,0.7,0.7,0,0.7,0.4,0.5,0
425,0.5,0.8,0.8,0.9,0.8,0.8,1,1,0.9,0.8,0.9,0.9,0.9,0.9,1,0.5,0.6,0.7,0.1,0.7,0.8,0.9,0.8,0.9,0.8,0.6,0.4,0.6,0.6,0.5,0.4,0.5,0.7,0.6,0.8,0.8,0.8,0.6,0.8,0.8,0.9,0.8,0.8,1,1,0.5,0.7,1,1,1,1,1,1,1,1,1,0.8,0.8,1,0.8,0.9,0.6,0.9,0.9,0.8,1,0.9,1,0.9,1,1,1,1,1,1,0.9,0.9,0.9,0.9,1,1,0.8,0.9,0.9,0.7,0.8,0.9,1,0.9,1,0.8,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,0.8,0.9,0.7,1
426,0.3,0.5,0.4,0.3,0.5,0.2,0.6,0.6,0.4,0.6,0.8,0.9,0.3,0.6,0.6,0.3,0.5,0.1,0,0,0.4,0.5,0.2,0.5,0.5,0.1,0.2,0.1,0.1,0,0.3,0.3,0.7,0.1,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0,0.3,0.4,0.2,0.3,0.1,0.3,0.4,0.4,0.4,0.4,0.2,0.2,0.1,0.2,0.3,0.5,0.3,0.3,0.1,0.3,0.7,0.6,0.7,0.6,0.6,0.7,0.6,0.8,0.7,0.1,0.1,0.6,0.4,0.3,0.4,0.5,0,0.3,0.5,0,0.3,0.2,0.3,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0,0.9,0.9,0.8,0.9,0.9,0.9,0,0.4,0.3,0.6,0.3
427,0.7,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.2,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.5,0.3,0.3,0.2,0.2,0.2,0.5,0.5,0.5,0.4,0.5,0.5,0.3,0.5,0.5,0.3,0.4,0.3,0.2,0.3,0.2,0.5,0.3,0.4,0.2,0.2,0.6,0.6,0.7,0.7,0.8,0.7,0.6,0.4,0.6,0.6,0.7,0.3,0.5,0.4,0.5,0.5,0.3,0.7,0.6,0.6,0.6,0.6,0.4,0.2,0.3,0,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.6,0.5,0.5,0.5,0.2,0,0.1,0.1,0.4,0.4,0.4,0.6,0.5,0.6,0.4,0.4,0.4,0.5,0.6,0.5,0.8,0.4,0.5
428,0.3,0.1,0.3,0.3,0.3,0.1,0.6,0.4,0.5,0.2,0.5,0.5,0.5,0.5,0.6,0.2,0.1,0.2,0.1,0.3,0.6,0.7,0.5,0.5,0.5,0.1,0.2,0.3,0.3,0.2,0.2,0,0.5,0.3,0.7,0.7,0.7,0.8,0.8,0.5,0.5,0.7,0.5,0.5,0.6,0.2,0.3,0.3,0.6,0.6,0.4,0.6,0.4,0.6,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.3,0.2,0,0.1,0.1,0.1,0.6,0.8,0.4,0.4,0.2,0.3,0.2,0.2,0.4,0.2,0.7,0.7,0,0,0.4,0,0,0.4,0.8,0,0.1,0,0.2,0.1,0.1,0.1,0.3,0.4,0.3,0,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0.2,0,0.2,0.5
429,0.2,0,0.3,0.4,0.4,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.4,0.3,0.5,0.3,0,0.4,0.3,0.3,0,0,0.5,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.3,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.1,0.2,0.2,0.2,0.5,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.4,0.5,0.4,0.5
430,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.4,0.5,0,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.5,0.5,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.4,0.5
431,0.3,0.7,0.7,0.6,0.7,0.9,0.8,0.9,1,1,0.7,0.8,1,0.9,0.9,0.6,0.5,0.6,0.4,0.6,0.8,0.7,0.6,0.6,0.8,0.9,0.9,0.9,0.9,0.5,0.5,0.8,0.6,0.4,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.8,0.9,1,0.5,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,0.7,1,0.9,0.9,1,0.9,1,0.9,0.8,0.9,0.8,0.7,0.9,0.8,0.7,0.9,0.9,0.7,0.8,1,1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.6,0.6,1,1,1,1,1,1,1,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.6,0.7,0.9,0.6
432,0,0,0,0,0,0,0.2,0.1,0,0,0.1,0,0,0.2,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.3,0,0,0.2,0.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
433,0.2,0,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0.1,0,0.3,0.1,0,0,0,0.2,0,0.2,0.1,0.1,0,0.1,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0,0,0.1,0.1
